Cites,Authors,Title,Year,Source,GSRank,ECC,CitesPerYear,CitesPerAuthor,AuthorCount
107,"J Zanker, M Sim, K Anderson, S Balogun…","Consensus guidelines for sarcopenia prevention, diagnosis and management in Australia and New Zealand",2023,"Journal of Cachexia, Sarcopenia and Muscle",180,107,53.5,21,5
107,"M Kim, CW Won",Sarcopenia is associated with cognitive impairment mainly due to slow gait speed: results from the Korean Frailty and Aging Cohort Study (KFACS),2019,International journal of environmental research and …,963,107,17.83,54,2
106,"A Faron, AM Sprinkart, DLR Kuetting, A Feisst…",Body composition analysis using CT and MRI: intra-individual intermodal comparison of muscle mass and myosteatosis,2020,Scientific reports,595,106,21.2,21,5
105,"YC Peng, CH Wu, YW Tien, TP Lu, YH Wang…",Preoperative sarcopenia is associated with poor overall survival in pancreatic cancer patients following pancreaticoduodenectomy,2021,European …,199,105,26.25,18,6
105,"J Bundred, SK Kamarajah, KJ Roberts",Body composition assessment and sarcopenia in patients with pancreatic cancer: a systematic review and meta-analysis,2019,HPB,424,105,17.5,35,3
105,"N Rosique-Esteban, N Babio, A Díaz-López…","Leisure-time physical activity at moderate and high intensity is associated with parameters of body composition, muscle strength and sarcopenia in aged adults with …",2019,Clinical nutrition,331,105,17.5,26,4
105,"ES Gruber, G Jomrich, D Tamandl, M Gnant, M Schindl…",Sarcopenia and sarcopenic obesity are independent adverse prognostic factors in resectable pancreatic ductal adenocarcinoma,2019,PloS one,192,105,17.5,18,6
105,"C Drescher, M Konishi, N Ebner…",Loss of muscle mass: current developments in cachexia and sarcopenia focused on biomarkers and treatment,2015,"… of cachexia, sarcopenia …",649,105,10.5,26,4
104,"LE Daly, CM Prado, AM Ryan",A window beneath the skin: how computed tomography assessment of body composition can assist in the identification of hidden wasting conditions in oncology that …,2018,Proceedings of the Nutrition Society,941,104,14.86,35,3
104,"G Ninomiya, T Fujii, S Yamada, N Yabusaki…",Clinical impact of sarcopenia on prognosis in pancreatic ductal adenocarcinoma: A retrospective cohort study,2017,International Journal of …,750,104,13,21,5
103,"C Compher, T Cederholm, MITD Correia…",Guidance for assessment of the muscle mass phenotypic criterion for the Global Leadership Initiative on Malnutrition diagnosis of malnutrition,2022,Journal of Parenteral …,761,103,34.33,26,4
101,"H Fu, L Wang, W Zhang, J Lu…",Diagnostic test accuracy of ultrasound for sarcopenia diagnosis: a systematic review and meta‐analysis,2023,"… of cachexia, sarcopenia …",217,101,50.5,20,5
101,"Y Cho, JW Kim, KC Keum, CG Lee…",Prognostic significance of sarcopenia with inflammation in patients with head and neck cancer who underwent definitive chemoradiotherapy,2018,Frontiers in Oncology,589,101,14.43,20,5
101,"EM Reijnierse, MC Trappenburg, MJ Leter, GJ Blauw…",The impact of different diagnostic criteria on the prevalence of sarcopenia in healthy elderly participants and geriatric outpatients,2015,Gerontology,121,101,10.1,20,5
100,"JJ Hopkins, MB Sawyer",A review of body composition and pharmacokinetics in oncology,2017,Expert review of clinical pharmacology,838,100,12.5,50,2
99,"Y Ai, R Xu, L Liu",The prevalence and risk factors of sarcopenia in patients with type 2 diabetes mellitus: a systematic review and meta-analysis,2021,Diabetology &Metabolic Syndrome,78,99,24.75,33,3
99,"J Grillot, C d'Engremont, AL Parmentier, Z Lakkis…",Sarcopenia and visceral obesity assessed by computed tomography are associated with adverse outcomes in patients with Crohn's disease,2020,Clinical Nutrition,851,99,19.8,20,5
99,"MS Weinberg, SS Shachar, HB Muss…",Beyond sarcopenia: characterization and integration of skeletal muscle quantity and radiodensity in a curable breast cancer population,2018,The breast …,307,99,14.14,25,4
98,"EM Reijnierse, MAE De Van Der Schueren…",Lack of knowledge and availability of diagnostic equipment could hinder the diagnosis of sarcopenia and its management,2017,PloS one,477,98,12.25,33,3
98,"T Zhang, C Ding, T Xie, J Yang, X Dai, T Lv, Y Li, L Gu…",Skeletal muscle depletion correlates with disease activity in ulcerative colitis and is reversed after colectomy,2017,Clinical nutrition,807,98,12.25,11,9
97,"T Kera, H Kawai, H Hirano, M Kojima…",Definition of respiratory sarcopenia with peak expiratory flow rate,2019,Journal of the American Medical Directors Association,554,97,16.17,19,5
97,"ME Couch, K Dittus, MJ Toth, MS Willis…",Cancer cachexia update in head and neck cancer: definitions and diagnostic features,2015,Head & …,863,97,9.7,19,5
97,"JR Broughman, GR Williams, AM Deal, H Yu…",Prevalence of sarcopenia in older patients with colorectal cancer,2015,Journal of geriatric …,322,97,9.7,19,5
96,"B Kirk, J Zanker, EB Hassan, S Bird…","Sarcopenia Definitions and Outcomes Consortium (SDOC) criteria are strongly associated with malnutrition, depression, falls, and fractures in high-risk older persons",2021,Journal of the American Medical Directors Association,416,96,24,19,5
96,"SH Kim, MJ Shin, YB Shin…",Sarcopenia associated with chronic obstructive pulmonary disease,2019,Journal of bone …,630,96,16,24,4
95,"N Kiss, J Loeliger, M Findlay, E Isenring…",Clinical Oncology Society of Australia: position statement on cancer‐related malnutrition and sarcopenia,2020,Nutrition & …,644,95,19,19,5
94,"F Bellanti, A Lo Buglio, S Quiete, G Pellegrino…",Comparison of three nutritional screening tools with the new glim criteria for malnutrition and association with sarcopenia in hospitalized older patients,2020,Journal of clinical …,909,94,18.8,19,5
94,"MY Chan, KSH Chok",Sarcopenia in pancreatic cancer–effects on surgical outcomes and chemotherapy,2019,World journal of gastrointestinal …,673,94,15.67,47,2
92,"M Findlay, K White, N Stapleton, J Bauer",Is sarcopenia a predictor of prognosis for patients undergoing radiotherapy for head and neck cancer? A meta-analysis,2021,Clinical Nutrition,319,92,23,23,4
92,"FJ Hu, H Liu, XL Liu, SL Jia, LS Hou, X Xia…",Mid-upper arm circumference as an alternative screening instrument to appendicular skeletal muscle mass index for diagnosing sarcopenia,2021,… interventions in aging,549,92,23,13,7
92,"C Oh, S Jho, JK No, HS Kim",Body composition changes were related to nutrient intakes in elderly men but elderly women had a higher prevalence of sarcopenic obesity in a population of Korean …,2015,Nutrition Research,468,92,9.2,23,4
91,"ML Petroni, MT Caletti, R Dalle Grave, A Bazzocchi…",Prevention and treatment of sarcopenic obesity in women,2019,Nutrients,251,91,15.17,18,5
91,"KL Hawkins, L Zhang, DK Ng, KN Althoff, FJ Palella Jr…","Abdominal obesity, sarcopenia, and osteoporosis are associated with frailty in men living with and without HIV",2018,Aids,368,91,13,15,6
91,"E Siegert, C March, L Otten, A Makowka, E Preis…",Prevalence of sarcopenia in systemic sclerosis: assessing body composition and functional disability in patients with systemic sclerosis,2018,Nutrition,603,91,13,15,6
90,"X Liu, L Hou, X Xia, Y Liu, Z Zuo, Y Zhang, W Zhao…",Prevalence of sarcopenia in multi ethnics adults and the association with cognitive impairment: findings from West-China health and aging trend study,2020,BMC Geriatrics,903,90,18,11,8
90,"AM Ata, M Kara, B Kaymak, E Gürçay, B Çakır…","Regional and total muscle mass, muscle strength and physical performance: The potential use of ultrasound imaging for sarcopenia",2019,Archives of gerontology …,608,90,15,15,6
90,"MI Tolea, S Chrisphonte, JE Galvin",Sarcopenic obesity and cognitive performance,2018,Clinical interventions in aging,579,90,12.86,30,3
90,"S Molino, M Dossena, D Buonocore, M Verri",Sarcopenic obesity: an appraisal of the current status of knowledge and management in elderly people,2016,"The Journal of Nutrition, Health and Aging",128,90,10,23,4
90,"T Urano, S Inoue","Recent genetic discoveries in osteoporosis, sarcopenia and obesity",2015,Endocrine journal,947,90,9,45,2
89,"S Giovannini, F Brau, R Forino, A Berti…","Sarcopenia: diagnosis and management, state of the art and contribution of ultrasound",2021,Journal of clinical …,228,89,22.25,18,5
89,"L Yang, X Yao, J Shen, G Sun, Q Sun, X Tian, X Li…",Comparison of revised EWGSOP criteria and four other diagnostic criteria of sarcopenia in Chinese community-dwelling elderly residents,2020,Experimental Gerontology,325,89,17.8,11,8
89,"D Sanchez-Rodriguez, E Marco…",Defining sarcopenia: some caveats and challenges,2020,Current Opinion in …,751,89,17.8,30,3
89,"R Hashemi, G Shafiee, AD Motlagh, P Pasalar…",Sarcopenia and its associated factors in Iranian older individuals: Results of SARIR study,2016,Archives of gerontology …,922,89,9.89,18,5
89,"S Nishiguchi, M Yamada, H Shirooka, Y Nozaki…",Sarcopenia as a risk factor for cognitive deterioration in community-dwelling older adults: a 1-year prospective study,2016,Journal of the American Medical Directors Association,930,89,9.89,18,5
88,"M Yang, X Hu, L Xie, L Zhang, J Zhou, J Lin…",Comparing mini sarcopenia risk assessment with SARC-F for screening sarcopenia in community-dwelling older adults,2019,Journal of the American Medical Directors Association,816,88,14.67,13,7
87,"GR Williams, Y Chen, KM Kenzik…","Assessment of sarcopenia measures, survival, and disability in older adults before and after diagnosis with cancer",2020,JAMA Network …,174,87,17.4,22,4
87,"B Ataseven, TG Luengo, A du Bois…",Skeletal muscle attenuation (sarcopenia) predicts reduced overall survival in patients with advanced epithelial ovarian cancer undergoing primary debulking surgery,2018,Annals of Surgical …,886,87,12.43,22,4
86,"YP Chen, YJ Kuo, SW Hung, T Wen, PC Chien…",Loss of skeletal muscle mass can be predicted by sarcopenia and reflects poor functional recovery at one year after surgery for geriatric hip fractures,2021,Injury,493,86,21.5,14,6
86,"MM de Freitas, VLP de Oliveira, T Grassi…",Difference in sarcopenia prevalence and associated factors according to 2010 and 2018 European consensus (EWGSOP) in elderly patients with type 2 diabetes …,2020,Experimental Gerontology,652,86,17.2,22,4
86,"NS de Paula, K de Aguiar Bruno, MA Aredes…",Sarcopenia and skeletal muscle quality as predictors of postoperative complication and early mortality in gynecologic cancer,2018,International Journal of …,932,86,12.29,22,4
85,"D Portal, L Hofstetter, I Eshed…",L3 skeletal muscle index (L3SMI) is a surrogate marker of sarcopenia and frailty in non-small cell lung cancer patients,2019,Cancer management …,412,85,14.17,21,4
85,"M Jang, HW Park, J Huh, JH Lee, YK Jeong, YW Nah…",Predictive value of sarcopenia and visceral obesity for postoperative pancreatic fistula after pancreaticoduodenectomy analyzed on clinically acquired CT and MRI,2019,European …,329,85,14.17,12,7
84,"R Pan, Y Zhang, R Wang, Y Xu, H Ji, Y Zhao",Effect of SGLT-2 inhibitors on body composition in patients with type 2 diabetes mellitus: A meta-analysis of randomized controlled trials,2022,PLoS One,931,84,28,14,6
84,"S Nakahara, M Takasaki, S Abe, C Kakitani, S Nishioka…",Aggressive nutrition therapy in malnutrition and sarcopenia,2021,Nutrition,984,84,21,14,6
84,"AR Jung, JL Roh, JS Kim, SB Kim, SH Choi…",Prognostic value of body composition on recurrence and survival of advanced-stage head and neck cancer,2019,European journal of …pppp,783,84,14,14,6
84,"CJC Marriott, LF Beaumont, TH Farncombe…",Body composition in long‐term survivors of acute lymphoblastic leukemia diagnosed in childhood and adolescence: a focus on sarcopenic obesity,2018,Cancer,159,84,12,21,4
84,"TE Murray, D Williams, MJ Lee","Osteoporosis, obesity, and sarcopenia on abdominal CT: a review of epidemiology, diagnostic criteria, and management strategies for the reporting radiologist",2017,Abdominal Radiology,67,84,10.5,28,3
83,"LA Gilligan, AJ Towbin, JR Dillman…",Quantification of skeletal muscle mass: sarcopenia as a marker of overall health in children and adults,2020,Pediatric …,503,83,16.6,21,4
83,"A Guo, K Li, Q Xiao",Sarcopenic obesity: Myokines as potential diagnostic biomarkers and therapeutic targets?,2020,Experimental gerontology,299,83,16.6,28,3
83,"M Li, Y Kong, H Chen, A Chu, G Song…",Accuracy and prognostic ability of the SARC-F questionnaire and Ishii's score in the screening of sarcopenia in geriatric inpatients,2019,Brazilian Journal of …,934,83,13.83,14,6
83,"CI Chang, KC Huang, DC Chan, CH Wu, CC Lin…",The impacts of sarcopenia and obesity on physical performance in the elderly,2015,Obesity research & …,831,83,8.3,14,6
82,"W Xie, G Xiao, Y Fan, M He, S Lv, Y Li",Sarcopenic obesity: research advances in pathogenesis and diagnostic criteria,2021,Aging clinical and Experimental Gerontology,103,82,20.5,14,6
82,"G Berardi, G Antonelli, M Colasanti, R Meniconi…",Association of sarcopenia and body composition with short-term outcomes after liver resection for malignant tumors,2020,JAMA …,320,82,16.4,16,5
82,"T Hida, K Ando, K Kobayashi, K Ito…",Ultrasound measurement of thigh muscle thickness for assessment of sarcopenia,2018,Nagoya journal of …,525,82,11.71,16,5
80,"M Fattouh, GY Chang, TJ Ow, K Shifteh…","Association between pretreatment obesity, sarcopenia, and survival in patients with head and neck cancer",2019,Head & …,741,80,13.33,16,5
80,"A El Maghraoui, FB Ebo'o, S Sadni, A Majjad…","Is there a relation between pre-sarcopenia, sarcopenia, cachexia and osteoporosis in patients with ankylosing spondylitis?",2016,BMC musculoskeletal …,677,80,8.89,16,5
79,"J Xiao, BJ Caan, EMC Feliciano, JA Meyerhardt…",The association of medical and demographic characteristics with sarcopenia and low muscle radiodensity in patients with nonmetastatic colorectal cancer,2019,The American journal of …,224,79,13.17,16,5
79,"A Aibar-Almazán, A Martínez-Amat, D Cruz-Díaz…","Sarcopenia and sarcopenic obesity in Spanish community-dwelling middle-aged and older women: Association with balance confidence, fear of falling and …",2018,Maturitas,551,79,11.29,20,4
79,"C Beaudart, M Edwards, C Moss, JY Reginster…","English translation and validation of the SarQoL®, a quality of life questionnaire specific for sarcopenia",2017,Age and …,565,79,9.88,16,5
79,"H Bronger, P Hederich, A Hapfelmeier, S Metz…",Sarcopenia in advanced serous ovarian cancer,2017,International Journal of …,222,79,9.88,16,5
78,"T Yazar, HO Yazar",Prevalance of sarcopenia according to decade,2019,Clinical nutrition ESPEN,156,78,13,39,2
78,"Y Zeng, X Hu, L Xie, Z Han, Y Zuo, M Yang",The prevalence of sarcopenia in Chinese elderly nursing home residents: a comparison of 4 diagnostic criteria,2018,Journal of the American Medical Directors Association,440,78,11.14,13,6
78,"M Barichella, G Pinelli, L Iorio, E Cassani…",Sarcopenia and dynapenia in patients with parkinsonism,2016,Journal of the American Medical Directors Association,619,78,8.67,16,5
78,"EM Reijnierse, MC Trappenburg, MJ Leter, GJ Blauw…",The association between parameters of malnutrition and diagnostic measures of sarcopenia in geriatric outpatients,2015,PloS one,157,78,7.8,16,5
77,"M Zembura, P Matusik",Sarcopenic obesity in children and adolescents: a systematic review,2022,Frontiers in Endocrinology,203,77,25.67,39,2
77,"T Tang, L Xie, S Hu, L Tan, X Lei, X Luo…",Serum creatinine and cystatin C‐based diagnostic indices for sarcopenia in advanced non‐small cell lung cancer,2022,"Journal of Cachexia, Sarcopenia and Muscle",163,77,25.67,11,7
77,R Dev,Measuring cachexia—diagnostic criteria,2019,Annals of palliative medicine,311,77,12.83,77,1
76,"YH Mo, J Zhong, X Dong, YD Su, WY Deng…",Comparison of three screening methods for sarcopenia in community-dwelling older persons,2021,Journal of the American Medical Directors Association,678,76,19,13,6
76,"SM Schneider, MITD Correia","Epidemiology of weight loss, malnutrition and sarcopenia: A transatlantic view",2020,Nutrition,164,76,15.2,38,2
76,"T Matsushita, S Nishioka, S Taguchi…",Sarcopenia as a predictor of activities of daily living capability in stroke patients undergoing rehabilitation,2019,Geriatrics & …,959,76,12.67,19,4
76,"Y Ji, B Cheng, Z Xu, H Ye, W Lu, X Luo, S Fu…",Impact of sarcopenic obesity on 30-day mortality in critically ill patients with intra-abdominal sepsis,2018,Journal of critical care,444,76,10.86,10,8
76,"EM Guinan, SL Doyle, AE Bennett, L O'Neill…",Sarcopenia during neoadjuvant therapy for oesophageal cancer: characterising the impact on muscle strength and physical performance,2018,Supportive Care in …,154,76,10.86,15,5
75,"C Zheng, E Wang, JS Li, K Xie, C Luo, QY Ge, LW Hu…",Serum creatinine/cystatin C ratio as a screening tool for sarcopenia and prognostic indicator for patients with esophageal cancer,2022,BMC Geriatrics,818,75,25,9,8
75,"T Hayashi, H Umegaki, T Makino…",Association between sarcopenia and depressive mood in urban‐dwelling older adults: a cross‐sectional study,2019,Geriatrics & …,720,75,12.5,19,4
75,"M Pizzoferrato, R De Sire, F Ingravalle, MC Mentella…",Characterization of sarcopenia in an IBD population attending an Italian gastroenterology tertiary center,2019,Nutrients,700,75,12.5,15,5
75,"J Dierkes, H Dahl, N Lervaag Welland, K Sandnes…",High rates of central obesity and sarcopenia in CKD irrespective of renal replacement therapy–an observational cross-sectional study,2018,BMC nephrology,369,75,10.71,15,5
75,"MCMD Vega, A Laviano, GD Pimentel",Sarcopenia and chemotherapy-mediated toxicity,2016,Einstein (Sao Paulo),1000,75,8.33,25,3
74,"…, C Roldan-Jimenez, AI Cuesta-Vargas","Effects of exercise on muscle mass, strength, and physical performance in older adults with sarcopenia: A systematic review and meta-analysis according to the …",2021,Experimental Gerontology,675,74,18.5,25,3
74,"J Yang, T Zhang, D Feng, X Dai, T Lv…",A new diagnostic index for sarcopenia and its association with short‐term postoperative complications in patients undergoing surgery for colorectal cancer,2019,Colorectal …,172,74,12.33,12,6
74,"LJM Alferink, K Trajanoska, NS Erler…","Nonalcoholic fatty liver disease in the Rotterdam study: about muscle mass, sarcopenia, fat mass, and fat distribution",2019,Journal of bone and …,523,74,12.33,19,4
74,"J Chakedis, G Spolverato, EW Beal, I Woelfel…",Pre-operative sarcopenia identifies patients at risk for poor survival after resection of biliary tract cancers,2018,Journal of Hepatology,646,74,10.57,15,5
73,"SB Jochum, M Kistner, EH Wood, M Hoscheit…",Is sarcopenia a better predictor of complications than body mass index? Sarcopenia and surgical outcomes in patients with rectal cancer,2019,Colorectal …,776,73,12.17,15,5
73,"DR Mager, A Hager, PH Ooi…",Persistence of sarcopenia after pediatric liver transplantation is associated with poorer growth and recurrent hospital admissions,2019,Journal of Parenteral …,572,73,12.17,18,4
73,"CY Deng, YC Lin, JS Wu, YC Cheung…",Progressive sarcopenia in patients with colorectal cancer predicts survival,2018,American Journal of …,326,73,10.43,15,5
73,"MH Edwards, B Buehring",Novel approaches to the diagnosis of sarcopenia,2015,Journal of Clinical Densitometry,227,73,7.3,37,2
72,", … for Healthy Ageing, Diabetes, Sarcopenia of …",Association between sarcopenia and diabetes: a systematic review and meta-analysis of observational studies,2019,European Geriatric …,946,72,12,18,4
72,"OM Griffin, SN Duggan, R Ryan, R McDermott…",Characterising the impact of body composition change during neoadjuvant chemotherapy for pancreatic cancer,2019,Pancreatology,182,72,12,14,5
72,"LD Westbury, RM Dodds, HE Syddall…","Associations between objectively measured physical activity, body composition and sarcopenia: findings from the Hertfordshire Sarcopenia Study (HSS)",2018,Calcified tissue …,168,72,10.29,18,4
72,"T Kera, H Kawai, H Hirano, M Kojima…","Relationships among peak expiratory flow rate, body composition, physical function, and sarcopenia in community-dwelling older adults",2018,Aging Clinical and …,724,72,10.29,14,5
72,"T Moro, G Tinsley, A Bianco, A Gottardi…","High intensity interval resistance training (HIIRT) in older adults: Effects on body composition, strength, anabolic hormones and blood lipids",2017,Experimental Gerontology,880,72,9,14,5
72,"W Kemmler, M Teschler, A Weißenfels, C Sieber…",Prevalence of sarcopenia and sarcopenic obesity in older German men using recognized definitions: high accordance but low overlap!,2017,Osteoporosis …,243,72,9,14,5
71,"MG Branco, C Mateus, ML Capelas, N Pimenta…",Bioelectrical impedance analysis (BIA) for the assessment of body composition in oncology: a scoping review,2023,Nutrients,830,71,35.5,14,5
71,"JY Baek, HW Jung, KM Kim, M Kim…","… Working Group on Sarcopenia guideline: expert consensus on sarcopenia screening and diagnosis by the Korean Society of Sarcopenia, the Korean Society …",2023,Annals of Geriatric …,186,71,35.5,14,5
71,"IA Ribeiro, LR Lima, CRG Volpe…",Frailty syndrome in the elderly in elderly with chronic diseases in Primary Care,2019,Revista da Escola de …,958,71,11.83,18,4
71,"TN Kim, MS Park, EJ Lee, HS Chung, HJ Yoo…",Comparisons of three different methods for defining sarcopenia: an aspect of cardiometabolic risk,2017,Scientific Reports,587,71,8.88,12,6
71,"P Limpawattana, P Kotruchin…",Sarcopenia in asia,2015,… and sarcopenia,567,71,7.1,24,3
70,"VA Souza, D Oliveira, EN Cupolilo, CS Miranda…",Rectus femoris muscle mass evaluation by ultrasound: facilitating sarcopenia diagnosis in pre-dialysis chronic kidney disease stages,2018,Clinics,517,70,10,14,5
70,"H Harada, H Kai, R Shibata, H Niiyama, Y Nishiyama…",New diagnostic index for sarcopenia in patients with cardiovascular diseases,2017,PloS one,376,70,8.75,12,6
70,"P Zeng, S Wu, Y Han, J Liu, Y Zhang, E Zhang…",Differences in body composition and physical functions associated with sarcopenia in Chinese elderly: reference values and prevalence,2015,Archives of gerontology …,171,70,7,10,7
69,"J Benjamin, V Shasthry, CR Kaal, L Anand…",Characterization of body composition and definition of sarcopenia in patients with alcoholic cirrhosis: a computed tomography based study,2017,Liver …,111,69,8.63,14,5
68,"C Liu, KYK Cheng, X Tong, WH Cheung…",The role of obesity in sarcopenia and the optimal body composition to prevent against sarcopenia and obesity,2023,Frontiers in Endocrinology,35,68,34,14,5
68,"MC Cox, M Booth, G Ghita, Z Wang…",The impact of sarcopenia and acute muscle mass loss on long‐term outcomes in critically ill patients with intra‐abdominal sepsis,2021,"Journal of Cachexia, Sarcopenia and Muscle",803,68,17,14,5
68,"YH Yin, JYW Liu, M Välimäki",Effectiveness of non-pharmacological interventions on the management of sarcopenic obesity: A systematic review and meta-analysis,2020,Experimental gerontology,147,68,13.6,23,3
68,"S Perna, D Spadaccini, M Nichetti…","Osteosarcopenic visceral obesity and osteosarcopenic subcutaneous obesity, two new phenotypes of sarcopenia: prevalence, metabolic profile, and risk factors",2018,Journal of aging …,201,68,9.71,17,4
68,"R Sammarco, M Marra, ML Di Guglielmo, M Naccarato…",Evaluation of hypocaloric diet with protein supplementation in middle-aged sarcopenic obese women: a pilot study,2017,Obesity facts,723,68,8.5,14,5
67,"U Fehrenbach, T Wuensch, P Gabriel, L Segger…",CT body composition of sarcopenia and sarcopenic obesity: predictors of postoperative complications and survival in patients with locally advanced …,2021,Cancers,95,67,16.75,13,5
67,"G Faxén-Irving, Y Luiking, H Grönstedt…","Do malnutrition, sarcopenia and frailty overlap in nursing-home residents?",2021,The Journal of frailty & …,699,67,16.75,17,4
67,"YJ Choo, MC Chang",Prevalence of sarcopenia among the elderly in Korea: a meta-analysis,2021,Journal of preventive medicine and …,535,67,16.75,34,2
67,"S Kurose, S Nishikawa, T Nagaoka, M Kusaka…",Prevalence and risk factors of sarcopenia in community-dwelling older adults visiting regional medical institutions from the Kadoma Sarcopenia Study,2020,Scientific Reports,476,67,13.4,13,5
67,"A de Oliveira Silva, MT Dutra…","Resistance training-induced gains in muscle strength, body composition, and functional capacity are attenuated in elderly women with sarcopenic obesity",2018,… interventions in aging,437,67,9.57,22,3
66,"UT Hacker, D Hasenclever, R Baber, N Linder…",… Glasgow prognostic score (mGPS) is correlated with sarcopenia and dominates the prognostic role of baseline body composition parameters in advanced …,2022,Annals of …,485,66,22,13,5
66,"SSY Yeung, EM Reijnierse…",Current knowledge and practice of Australian and New Zealand health‐care professionals in sarcopenia diagnosis and treatment: Time to move forward!,2020,… journal on ageing,486,66,13.2,22,3
66,"F Ufuk, D Herek, D Yüksel",Diagnosis of sarcopenia in head and neck computed tomography: cervical muscle mass as a strong indicator of sarcopenia,2019,Clinical and Experimental Gerontology,606,66,11,22,3
66,"S Park, W Na, C Sohn",Relationship between osteosarcopenic obesity and dietary inflammatory index in postmenopausal Korean women: 2009 to 2011 Korea National Health and Nutrition …,2018,Journal of Clinical Biochemistry and Nutrition,855,66,9.43,22,3
65,MC Velazquez‐Alva…,Comparison of the prevalence of sarcopenia using skeletal muscle mass index and calf circumference applying the E uropean consensus definition in elderly M …,2017,Geriatrics & …,269,65,8.13,33,2
65,"JH Kim, YS Park","Light coffee consumption is protective against sarcopenia, but frequent coffee consumption is associated with obesity in Korean adults",2017,Nutrition Research,973,65,8.13,33,2
65,"LS Silva Neto, MGO Karnikowski…",Association between sarcopenia and quality of life in quilombola elderly in Brazil,2016,… journal of general …,327,65,7.22,22,3
64,"R Zhao, X Li, Y Jiang, N Su, J Li, L Kang, Y Zhang…",Evaluation of appendicular muscle mass in sarcopenia in older adults using ultrasonography: a systematic review and meta-analysis,2022,Gerontology,692,64,21.33,8,8
64,"B Vangelov, J Bauer, D Kotevski…",The use of alternate vertebral levels to L3 in computed tomography scans for skeletal muscle mass evaluation and sarcopenia assessment in patients with cancer: a …,2022,British Journal of Nutrition,202,64,21.33,16,4
64,"G Bahat, A Tufan, C Kilic, MA Karan…",Prevalence of sarcopenia and its components in community-dwelling outpatient older adults and their relation with functionality,2020,The Aging …,840,64,12.8,13,5
64,"J Lin, W Zhang, Y Huang, W Chen, R Wu…",Sarcopenia is associated with the neutrophil/lymphocyte and platelet/lymphocyte ratios in operable gastric cancer patients: a prospective study,2018,Cancer management …,812,64,9.14,11,6
63,"JK Kim, MN Bae, K Lee, JC Kim, SG Hong",Explainable artificial intelligence and wearable sensor-based gait analysis to identify patients with osteopenia and sarcopenia in daily life,2022,Biosensors,22,63,21,13,5
63,"M Findlay, K White, C Brown…",Nutritional status and skeletal muscle status in patients with head and neck cancer: impact on outcomes,2021,"… of cachexia, sarcopenia …",961,63,15.75,16,4
63,"JS Han, H Ryu, IJ Park, KW Kim…",Association of body composition with long-term survival in non-metastatic rectal cancer patients,2020,… : Official Journal of …,198,63,12.6,13,5
63,"A Martinez-Amat, A Aibar-Almazan…",Exercise alone or combined with dietary supplements for sarcopenic obesity in community-dwelling older people: a systematic review of randomized …,2018,Maturitas,743,63,9,21,3
63,"BU Souza, NCS Souza, RB Martucci…",Factors associated with sarcopenia in patients with colorectal cancer,2018,Nutrition and …,394,63,9,16,4
63,"NM Santana, CPS Pinho, CP da Silva…",Phase angle as a sarcopenia marker in hospitalized elderly patients,2018,Nutrition in Clinical …,781,63,9,16,4
63,"O Addison, SJ Prior, R Kundi, MC Serra…",Sarcopenia in peripheral arterial disease: prevalence and effect on functional status,2018,Archives of physical …,552,63,9,13,5
62,"K Norman, C Herpich, U Müller-Werdan",Role of phase angle in older adults with focus on the geriatric syndromes sarcopenia and frailty,2023,Reviews in Endocrine and …,656,62,31,21,3
62,"UM Jogiat, H Sasewich, SR Turner, V Baracos…","Sarcopenia determined by skeletal muscle index predicts overall survival, disease-free survival, and postoperative complications in resectable esophageal …",2022,Annals of …,717,62,20.67,12,5
62,"K Evans, D Abdelhafiz, AH Abdelhafiz",Sarcopenic obesity as a determinant of cardiovascular disease risk in older people: a systematic review,2021,Postgraduate medicine,379,62,15.5,21,3
62,"AD Ardeljan, R Hurezeanu",Sarcopenia,2020,,990,62,12.4,31,2
62,"CH Lee, H Yoon, DJ Oh, JM Lee, YJ Choi…",The prevalence of sarcopenia and its effect on prognosis in patients with Crohn's disease,2020,Intest …,248,62,12.4,10,6
62,"AJ Tessier, SS Wing, E Rahme…",Physical function‐derived cut‐points for the diagnosis of sarcopenia and dynapenia from the Canadian longitudinal study on aging,2019,"Journal of Cachexia, Sarcopenia and Muscle",292,62,10.33,16,4
62,"LP da Cunha, MN Silveira, MCS Mendes…",Sarcopenia as an independent prognostic factor in patients with metastatic colorectal cancer: a retrospective evaluation,2019,Clinical nutrition …,276,62,10.33,16,4
62,"Y Ha, D Kim, S Han, YE Chon, YB Lee…","Sarcopenia predicts prognosis in patients with newly diagnosed hepatocellular carcinoma, independent of tumor stage and liver function",2018,… : Official Journal of …,618,62,8.86,10,6
61,"Z Xu, P Zhang, Y Chen, J Jiang, Z Zhou, H Zhu",Comparing SARC-CalF with SARC-F for screening sarcopenia in adults with type 2 diabetes mellitus,2022,Frontiers in Nutrition,482,61,20.33,10,6
61,"O Deniz, S Coteli, NB Karatoprak, MC Pence…",Diaphragmatic muscle thickness in older people with and without sarcopenia,2021,Aging Clinical and …,817,61,15.25,12,5
61,"A Surov, A Wienke",Sarcopenia predicts overall survival in patients with malignant hematological diseases: A meta-analysis,2021,Clinical Nutrition,866,61,15.25,31,2
